,d
42439972,102.34106783409847
9140654137,61.71264120016304
42430304,59.717779094396974
42430329,45.177112702947376
42430352,42.47071005556396
42449961,42.43756306338464
42435644,39.991500120795365
42453952,35.27886091658706
42447020,30.278785627395354
42428493,29.602880098368853
42431549,23.465436010478903
42430233,23.447858421383724
42435598,23.2497992434366
42430271,23.037040687930645
42436700,20.602233231383163
42430633,20.140197657843387
42435684,20.0853618504798
1825841742,17.30417675124313
4347534767,16.584102611378622
42430253,14.891116929999685
42457319,14.82906223355245
42440012,14.744177117013809
42440287,14.579056941182847
42430378,14.22178026591041
5706569898,12.44714828395715
42427427,12.071388313390962
42430126,11.594499069876083
42446266,11.204603105450795
4597668020,10.872861957549738
42448693,10.81513000999467
42451665,10.6865176984718
42439996,10.48696364162491
42429782,9.347000398724887
42452067,7.727288071021248
42428201,7.5463556162362195
42430160,7.1910257456185995
9121386334,7.127212892828606
4461990857,6.989356284103915
42435923,6.8726254601377565
42428223,6.524768217648979
588546891,6.510238146651116
279151954,6.491803603168346
42445543,6.087749123666929
42428471,5.435955604458553
42431614,5.206805047376645
42440743,4.98650144257336
42428368,4.786589695808945
42428444,3.832348331530366
42442247,3.6897073331236547
42429840,3.258807121330738
42430805,2.9455469724424805
42438547,2.8621668914308858
42448563,2.7576333819708383
42437890,2.561130022687197
4143765783,1.6680246658380482
42428308,1.6114934965838883
4149936235,1.5347592942399142
42453038,1.423588119732574
42429661,1.3967528090238555
2821304137,1.3378849972640245
42452015,1.1563561276609593
42431461,0.9165835931245206
4149936245,0.7436311562402327
42432679,0.4198389381285652
1773076511,0.2835238404706615
5969794486,973.600465190082
